bikeStationAddress,latitude,longitude,freeBikes
Yonge St / Dundonald St,43.665801,-79.384796,1
Bay St / Charles St W,43.668153,-79.38891,3
Church St / Dundas St E,43.657024,-79.377257,5
Yonge St / Alexander St,43.662862,-79.383572,0
Queen St W / James St,43.652276,-79.380701,10
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,8
Balliol St / Yonge St SMART,43.6978701,-79.39419,0
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,2
Front St E / Scott St,43.6476616,-79.37549,10
Frederick St / The Esplanade,43.6487245,-79.36839,16
Riverdale Park South (Broadview Ave),43.667819,-79.35347,12
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,1
King St W / Bay St (West Side),43.64852,-79.380576,26
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,11
King St W / Spadina Ave,43.645323,-79.395003,18
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,0
Queens Quay / Yonge St,43.641646,-79.375308,12
Front St W / Bay St (North Side),43.646162,-79.378912,11
Danforth Ave / Westlake Ave,43.687323,-79.304848,3
Jarvis St / Isabella St,43.668991,-79.379385,5
Yonge St / Wood St,43.6622222,-79.3825,0
King St W / Tecumseth St,43.64333333,-79.40555556,5
Beverley St / College St,43.6575,-79.39527778,4
Queen St E / George St (Moss Park),43.6544444,-79.37111111,12
Gould St / Yonge St (Ryerson University),43.657424,-79.381019,14
Front St W / Bay St (South Side),43.64595,-79.378761,18
Charles St W / Balmuto St,43.668427,-79.38725,0
Charles St E / Jarvis St,43.669604,-79.381171,11
Queen St E / Pape Ave,43.661673,-79.337789,4
Gerrard St E / Broadview,43.665656,-79.352055,10
Humber Bay Shores Park East,43.6308933,-79.4722622,14
Humber Bay Shores Park West,43.6224434,-79.480284,15
Taddle Creek Park,43.66986,-79.398443,3
Thompson St / Broadview Ave,43.659471,-79.350325,3
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,11
Queen St W / Fuller Ave,43.640255,-79.439223,15
King St W / Cowan Ave,43.637922,-79.431734,3
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,17
Sorauren St / Geoffrey St (Sorauren Park),43.649172,-79.4445087,10
Bloor St W / Manning Ave,43.663912,-79.416124,0
Simcoe St / Wellington St 1,43.6458569,-79.3853654,27
Mallon Ave / Jones Ave,43.66587,-79.33443,15
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,14
128 Sterling Ave - SMART,43.654004,-79.444792,14
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,9
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,9
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,0
D'Arcy St / Spadina Ave - SMART,43.654074,-79.398115,12
Sumach St  / Queen St E,43.656638,-79.358749,10
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,7
Gerrard St E / Ted Reeve Dr,43.684261,-79.299332,5
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,1
Neil McLellan Park - SMART,43.65143,-79.47779,10
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,10
Antler St / Campbell Ave - SMART,43.664182,-79.449066,10
Clarence Square,43.64407,-79.3929,17
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,5
Front St / Simcoe St,43.6442,-79.38702,18
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,13
Glendonwynne Ave / Bloor St W - SMART,43.65182,-79.47421,14
Russell Hill Rd / St Clair Ave W - SMART,43.685569,-79.408019,8
Church St / Lombard St,43.651678,-79.375233,13
Richmond St E / Yonge St,43.651838,-79.378743,14
High Park Amphitheatre,43.645653,-79.464366,15
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,3
Pottery Rd / Lower Don River Trail - SMART,43.688148,-79.362101,6
Bleecker St / St James Ave,43.669232,-79.374495,7
Western Battery Rd / Pirandello St,43.640075,-79.414156,18
Carlaw Ave / Danforth Ave - SMART,43.678285,-79.347346,6
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,4
Goodwood Park Ct / Dentonia Park,43.694826,-79.295208,4
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,13
Trent Ave / Danforth Ave - SMART,43.689293,-79.295895,8
Orchard Park,43.66908,-79.3149,10
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,10
Martin Goodman Trail / Ontario Dr,43.63121,-79.41414,6
Concord Ave / Bloor St W - SMART,43.66189,-79.42679,6
High Park Subway - SMART,43.65389,-79.4675,2
Via Italia / Mackay Ave - SMART,43.676697,-79.445029,1
Rushton Rd / St Clair Ave W - SMART,43.68114,-79.4277,0
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,8
Gerrard St E / Leslie St,43.669813,-79.3335,10
Marilyn Bell Park Tennis Court,43.633537,-79.437461,5
Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,21
The Queensway at South Kingsway - SMART,43.63632,-79.47307,14
Merton St / Mount Pleasant Rd - SMART,43.697819,-79.38786,5
Tyndall Ave / King St W - SMART,43.638426,-79.429142,7
College Park - Yonge Entrance,43.65988,-79.38279,9
Bloor St W / Huron St,43.667023,-79.401805,2
Barton St / Howland St - SMART,43.66842,-79.410585,1
Keele St / Annette St - SMART,43.66402,-79.46418,1
Keele St / Vine Ave - SMART,43.66686,-79.46526,11
Howard St / Ontario St,43.671278,-79.372127,1
Little Norway Park,43.635023,-79.399505,20
Isabella St / Church St - SMART,43.66834,-79.38235,0
University Ave / Armoury St - SMART,43.65263,-79.38766,9
University Ave / Queen St W,43.65158,-79.38655,12
Lascelles Blvd / Eglinton Ave W - SMART,43.70547,-79.40355,0
Polson Pier,43.641675,-79.354006,11
Dentonia Park Station,43.694341,-79.291416,9
Lower Jarvis / Queens Quay E,43.64422,-79.36927,13
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,1
Queens Quay E / Lower Sherbourne,43.645215,-79.364898,19
Adelaide St W / Brant St,43.6462574,-79.3973381,15
Wright Ave / Sorauren St (Sorauren Park),43.646677,-79.442741,7
Ellis Ave / The Queensway,43.63855,-79.46693,13
High Park - Grenadier Cafe,43.645599,-79.4657123,5
Winona Dr / Davenport Rd,43.674923,-79.430465,4
Danforth Ave / Aldridge Ave,43.684758,-79.316767,5
Dundonald St / Church St,43.66663,-79.38148,32
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,3
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,30
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,14
Bremner Blvd / Rees St,43.641529,-79.386741,14
King St W / Crawford St - SMART,43.6417852,-79.4131148,7
Yonge St / Dundas Sq,43.655766,-79.3802,22
St Clair Ave W / Winona Ave - SMART,43.680466,-79.432522,0
Dundas St W / Watkinson Ave - SMART,43.66478,-79.45991,3
Bay St / Wellesley St W,43.664088,-79.387095,17
Humberside Grounds - SMART,43.65917,-79.46997,13
Bloor St E / Huntley St,43.671535,-79.379173,0
Wellington St W / York St,43.646734,-79.38301,22
Dalton Rd / Bloor St W,43.6662942,-79.4066433,2
Davenport Rd / Christie St,43.675278,-79.423889,0
King St / Jordan St - SMART,43.648928,-79.378623,10
George St / King St E,43.6509552,-79.3707,13
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,9
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,12
King St W / Charlotte St,43.645572,-79.39399,16
Jarvis St / Richmond St E,43.652777,-79.372637,9
Symington Ave / Dupont St - SMART,43.665538,-79.451263,10
King St E / Jarvis St,43.650325,-79.372287,23
1199 Bay St,43.66943,-79.38915,3
1188 Bay St,43.669244,-79.3894,2
Lonsdale Rd / Spadina Rd,43.688526,-79.412903,1
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,2
Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,6
Dundas St E / George St - SMART,43.6574766,-79.373446,7
Fleet St / Bathurst St,43.636611,-79.400042,14
Tecumseth St / Queen St W,43.646552,-79.406468,0
Wellington St W / Bay St,43.647259,-79.379878,25
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,6
St James Park,43.6500392,-79.3733541,13
Bay St / Albert St,43.653264,-79.382458,25
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,13
Bay St / College St (East Side),43.660439,-79.385525,9
University Ave / College St (West),43.659226,-79.390213,11
University Ave / College St (East),43.65995,-79.38964,13
Queen's Park Cres E / Grosvenor St,43.661803,-79.389682,10
Bay St / College St (West Side),43.660087,-79.385655,3
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,12
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,26
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,5
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,18
St Clarens Ave / Shirley Ave,43.6486599,-79.4376413,5
Lisgar Park,43.6423847,-79.4240277,10
Bartlett Parkette,43.6702236,-79.4360232,15
Spadina Rd / Austin Terrace,43.67883,-79.408723,0
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,4
Walnut Ave / Queen St W,43.645469,-79.411084,4
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,10
Palmerston Ave / Dundas St W,43.651603,-79.408346,8
541 Huron St,43.670206,-79.402643,5
Euclid Ave / Herrick St,43.661559,-79.413845,3
Baldwin St / Henry St,43.6560758,-79.393259,3
Orde St / McCaul St,43.6580442,-79.3927404,9
Ross St / Cecil St,43.6568254,-79.3966159,0
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.5403301,7
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,4
Windsor St / Newcastle St,43.6171635,-79.4971065,11
Royal York Rd / Mimico Ave,43.612063,-79.496573,11
Berry Rd / Bell Manor Dr,43.63732,-79.489083,15
Humber College,43.5961692,-79.5160575,13
Amos Waites Park,43.613606,-79.4883535,5
Priscilla  Ave / Dundas St W,43.664665,-79.489385,10
