restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress,bikeStationDistance,latitude,longitude,freeBikes
OEB Breakfast Co.,125 E Liberty Street,4.5,83.0,43.6383561,-79.4162024,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
'ONO Poké Bar,100 Western Battery Road,4.0,107.0,43.63922829435533,-79.41577951831691,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Chiang Mai,171 E Liberty St,4.5,51.0,43.6381655863887,-79.4175398947282,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Burger Drops,116 Atlantic Ave,4.0,60.0,43.6396428046657,-79.4212432595327,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
KoJa Restaurant,120 Atlantic Avenue,3.5,85.0,43.6396681733591,-79.4212111734425,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
"Kibo Sushi House, Liberty village",171 E Liberty Street,3.5,49.0,43.6381832787803,-79.4173282384872,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Injapan,124 Atlantic Avenue,3.5,57.0,43.6397312,-79.4212973,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Liberty Shawarma,114 Atlantic Ave,3.0,80.0,43.6394628,-79.4212193,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Naomi,112 Atlantic Ave,4.0,19.0,43.63939,-79.42124,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
Liberty Village Market & Cafe,65 Jefferson Avenue,3.5,20.0,43.63796,-79.42131,Ontario Place Blvd / Lake Shore Blvd W (East),,43.6322445,-79.4108105,19
DaiLo,503 College Street,4.0,308.0,43.65574,-79.4098,Spadina Ave / Willcocks St,,43.6616667,-79.40138889,7
El Trompo Taco Bar,277 Augusta Ave,4.0,353.0,43.65591,-79.40227,Spadina Ave / Willcocks St,,43.6616667,-79.40138889,7
Chica's Nashville Hot Chicken,2853 Dundas Street W,4.5,121.0,43.66518,-79.46423,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Indie Ale House,2876 Dundas Street W,4.0,254.0,43.6654413783034,-79.4652382135862,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
The Hole In the Wall,2867 Dundas Street W,4.5,166.0,43.66518,-79.46515,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Nodo - Junction,2885 Dundas Street West,4.0,201.0,43.6653383989619,-79.4656616449356,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
When The Pig Came Home,384 Keele Street,4.5,70.0,43.6657595,-79.4648277,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Luna Junction,2800 Dundas St W,4.5,32.0,43.6656,-79.46276,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Taste Seduction,399 Keele Street,4.5,36.0,43.66612,-79.46444,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Curry Twist Restaurant,3034 Dundas Street W,4.0,108.0,43.66569,-79.47053,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
La Rev,2848 Dundas Street W,3.5,59.0,43.66563,-79.46431,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
The Alpine,2872 Dundas Street W,4.0,34.0,43.66562,-79.4652,Cariboo St / Rail Path,,43.66666667,-79.45833333,0
Egg Bae,189 Augusta Avenue,4.0,204.0,43.653418218123,-79.4014396490667,College St / Major St,,43.6576,-79.4032,0
Hunters Landing,82 Fort York Blvd,3.5,233.0,43.64002,-79.39673,Queens Quay W / Dan Leckie Way,,43.636533,-79.395854,25
Harbour 60,60 Harbour Street,3.5,275.0,43.642105,-79.378455,York St / Queens Quay W,,43.640132,-79.380464,45
Yuzu No Hana,236 Adelaide Street W,4.0,566.0,43.64847,-79.38834,York St / Queens Quay W,,43.640132,-79.380464,45
Taverna Mercatto,120 Bremner Boulevard,3.5,223.0,43.6426722096442,-79.3827601467308,York St / Queens Quay W,,43.640132,-79.380464,45
Sushi & BBbop,Food Court At Aura,4.5,87.0,43.65931,-79.38256,College Park South,,43.659777,-79.382767,17
Maison Selby,592 Sherbourne Street,4.0,101.0,43.6712727802952,-79.37660004670653,161 Bleecker St (South of Wellesley),,43.666233,-79.373327,0
Fushimi,491 Church Street,3.5,263.0,43.66526,-79.38032,161 Bleecker St (South of Wellesley),,43.666233,-79.373327,0
School Restaurant,70 Fraser Avenue,3.5,627.0,43.63784,-79.42435,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Nuit Social,1168 Queen Street W,4.5,212.0,43.64303,-79.42542,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Pho Tien Thanh,57 Ossington Avenue,4.0,436.0,43.6455399,-79.41896,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Medieval Times Toronto,10 Dufferin Street,4.0,201.0,43.633528,-79.425126,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Frankie's,994 Queen Street W,4.0,188.0,43.6445099,-79.41842,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Chen Chen’s Nashville Hot Chicken,1184 Queen Street W,4.5,61.0,43.6429634,-79.4257733,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
The Good Son,1096 Queen Street W,4.0,208.0,43.6436501,-79.4227676,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Smoque N' Bones,869 Queen Street W,4.0,409.0,43.6457027819391,-79.4107432752393,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Caffino Ristorante,1185 King Street W,4.0,100.0,43.63914,-79.42547,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
Guu Izakaya Toronto,1314 Queen Street W,4.0,149.0,43.6418673011168,-79.4310904074585,Exhibition GO (Atlantic Ave),,43.63666667,-79.41972222,18
FIKA,28 Kensington Avenue,4.0,184.0,43.6535844,-79.4004303,Augusta Ave / Denison Sq,,43.653766,-79.4016759,9
Grey Gardens,199 Augusta Avenue,4.5,120.0,43.6537999,-79.40143,Augusta Ave / Denison Sq,,43.653766,-79.4016759,9
Pho Linh,1156 College Street W,4.0,235.0,43.65241,-79.43411,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
